,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1286,1168908059848126467,2019-09-03 15:26:13+00:00,"A new poll was released showing a stark drop in young Americans’ feelings on the importance of patriotism, religion, & having a family.Too often, younger Americans are hearing about socialism & free stuff w/o regard for the future.They need to hear the truth. @standamericanow 🇺🇸",poll release show stark drop young Americans feeling importance patriotism religion have family young Americans hear socialism free stuff regard future need hear truth @standamericanow united_state,2285,<UNK>,@standamericanow,NikkiHaley
1287,1168897254410924042,2019-09-03 14:43:17+00:00,I look forward to seeing it tomorrow! ☀️,look forward see tomorrow sun_selector,1,<UNK>,<UNK>,NikkiHaley
1288,1168895755307929606,2019-09-03 14:37:19+00:00,Flew into the Windy City today and “windy” is an understatement. #Chicago #BlownOver #WheresTheSun ☀️,fly Windy City today windy understatement Chicago BlownOver WheresTheSun sun_selector,25,#Chicago #BlownOver #WheresTheSun,<UNK>,NikkiHaley
1289,1168887535818498050,2019-09-03 14:04:40+00:00,I have always loved summer and this one did not disappoint. Sweet memories...❤️#FarewellToSummer #CanWeSkipWinter,love summer disappoint sweet memory :red_heart_selector:#FarewellToSummer CanWeSkipWinter,45,#FarewellToSummer #CanWeSkipWinter,<UNK>,NikkiHaley
1290,1168677465226698753,2019-09-03 00:09:55+00:00,Thanks for the recommendations! We are going to try Mindhunter.,thank recommendation go Mindhunter,36,<UNK>,<UNK>,NikkiHaley
1291,1168653928046694400,2019-09-02 22:36:23+00:00,😂😂😂,face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy,2,<UNK>,<UNK>,NikkiHaley
1292,1168652880087269376,2019-09-02 22:32:13+00:00,In laws are here in the city with us since being evacuated from South Carolina. Any suggestions on series to watch since they are sure to be here for the week? #MustBeInLawFriendly,law city evacuate South Carolina suggestion series watch sure week mustbeinlawfriendly,250,#MustBeInLawFriendly,<UNK>,NikkiHaley
1293,1168633743537557504,2019-09-02 21:16:11+00:00,"Best wishes on this Labor Day. Special prayers going out to the many members of law enforcement, national guard, safety workers, and other public officials working the storm. ❤️🇺🇸",good wish Labor special prayer go member enforcement national guard safety worker public official work storm red_heart_selector::united_state,255,<UNK>,<UNK>,NikkiHaley
1294,1168578477177671682,2019-09-02 17:36:34+00:00,"We strongly support these activists and the people of Hong Kong in their crusade for human dignity, equality, and freedom. 🇺🇸",strongly support activist people Hong Kong crusade human dignity equality freedom united_state,862,<UNK>,<UNK>,NikkiHaley
1295,1168228788225871873,2019-09-01 18:27:02+00:00,Many prayers and a heavy heart for the families in Odessa and in the path of Hurricane Dorian. ❤️,prayer heavy heart family Odessa path Hurricane Dorian red_heart_selector,325,<UNK>,<UNK>,NikkiHaley
1296,1167880354683686918,2019-08-31 19:22:29+00:00,Good luck today! We will be watching.,good luck today watch,2,<UNK>,<UNK>,NikkiHaley
1297,1167509363029921798,2019-08-30 18:48:18+00:00,A great start to the @ClemsonFB season with the sweetest of friends! Another set of great memories in the books. Go Tigers! #AllIn #FootballSeasonIsHere #ItsAGreatDayInSC,great start @ClemsonFB season sweetest friend great memory book Tigers allin footballseasonishere ItsAGreatDayInSC,54,#AllIn #FootballSeasonIsHere #ItsAGreatDayInSC,@ClemsonFB,NikkiHaley
1298,1167077973343834113,2019-08-29 14:14:06+00:00,The way China chooses to handle the Hong Kong situation will tell us much more about their overall strategy for the future. Here’s why it matters.,China choose handle Hong Kong situation tell overall strategy future matter,769,<UNK>,<UNK>,NikkiHaley
1299,1166822700461056000,2019-08-28 21:19:44+00:00,"Spent the day in studio recording my soon to be released book “With All Due Respect”. To preorder the book so you are one of the first to get it, visit http://www.nikkihaleybook.com #InMyOwnWords",spend studio record soon release book respect preorder book visit InMyOwnWords,136,#InMyOwnWords,<UNK>,NikkiHaley
1300,1166688531449880577,2019-08-28 12:26:36+00:00,There are differing opinions on concerns or expectations of the role of the next generation in our country. This is how I see it. ❤️🇺🇸,differ opinion concern expectation role generation country red_heart_selector::united_states,518,<UNK>,<UNK>,NikkiHaley
